Year,State/Territory,Season,Rainfall
2013,Northern Territory,Summer,3.615760869565217
2013,Northern Territory,Winter,0.18233695652173912
2013,Queensland,Autumn,4.067934782608695
2013,Queensland,Spring,1.8895604395604395
2013,Queensland,Summer,5.0528455284552845
2013,Queensland,Winter,1.2255434782608696
2013,South Australia,Autumn,1.1349710982658958
2013,South Australia,Spring,1.0479768786127166
2013,South Australia,Summer,0.460337552742616
2013,South Australia,Winter,2.703888888888889
2013,Tasmania,Autumn,1.3138888888888889
2013,Tasmania,Spring,2.9766666666666666
2013,Tasmania,Summer,0.7540322580645161
2013,Tasmania,Winter,3.164285714285714
2013,Victoria,Autumn,1.2101123595505618
2013,Victoria,Spring,1.944074844074844
2013,Victoria,Summer,0.7273010920436818
2013,Victoria,Winter,3.1688843398157625
2013,Western Australia,Autumn,2.382847533632287
2013,Western Australia,Spring,2.3691867124856816
2013,Western Australia,Summer,0.7616144975288304
2013,Western Australia,Winter,3.5615470852017936
2014,Australian Capital Territory,Autumn,2.0494505494505493
2014,Australian Capital Territory,Spring,1.1707865168539326
2014,Australian Capital Territory,Summer,2.328409090909091
2014,Australian Capital Territory,Winter,1.1707865168539326
2014,New South Wales,Autumn,2.464271186440678
2014,New South Wales,Spring,1.3480378890392424
2014,New South Wales,Summer,2.553502747252747
2014,New South Wales,Winter,2.411986301369863
2014,Northern Territory,Autumn,1.7258785942492014
2014,Northern Territory,Spring,0.820879120879121
2014,Northern Territory,Summer,6.212640449438202
2014,Northern Territory,Winter,0.08043478260869565
2014,Queensland,Autumn,4.772375690607735
2014,Queensland,Spring,0.8994413407821229
2014,Queensland,Summer,5.268926553672316
2014,Queensland,Winter,1.5441340782122903
2014,South Australia,Autumn,1.4473239436619718
2014,South Australia,Spring,0.574585635359116
2014,South Australia,Summer,1.015625
2014,South Australia,Winter,1.9019021739130435
2014,Tasmania,Autumn,1.5879120879120878
2014,Tasmania,Spring,1.1794444444444445
2014,Tasmania,Summer,1.0474576271186442
2014,Tasmania,Winter,2.086666666666667
2014,Victoria,Autumn,1.7743589743589743
2014,Victoria,Spring,1.1542268041237111
2014,Victoria,Summer,0.7871369294605809
2014,Victoria,Winter,1.8629098360655738
2014,Western Australia,Autumn,1.7968715083798883
2014,Western Australia,Spring,1.7731308411214952
2014,Western Australia,Summer,0.5802978235967927
2014,Western Australia,Winter,3.2600448933782267
2015,Australian Capital Territory,Autumn,1.3396648044692736
2015,Australian Capital Territory,Spring,1.4588888888888891
2015,Australian Capital Territory,Summer,2.1822222222222223
2015,Australian Capital Territory,Winter,2.0395604395604394
2015,New South Wales,Autumn,4.4222448979591835
2015,New South Wales,Spring,2.0349056603773588
2015,New South Wales,Summer,3.2928522336769763
2015,New South Wales,Winter,1.8624246483590086
2015,Northern Territory,Autumn,1.1755434782608696
2015,Northern Territory,Spring,0.6811111111111111
2015,Northern Territory,Summer,7.262535211267605
2015,Northern Territory,Winter,0.03825136612021858
2015,Queensland,Autumn,3.9114942528735632
2015,Queensland,Spring,1.4480446927374302
2015,Queensland,Summer,7.893103448275863
2015,Queensland,Winter,1.3624309392265193
2015,South Australia,Autumn,1.2175824175824175
2015,South Australia,Spring,0.6658333333333333
2015,South Australia,Summer,0.6891061452513967
2015,South Australia,Winter,1.3353260869565218
2015,Tasmania,Autumn,1.692391304347826
2015,Tasmania,Spring,0.7994505494505495
2015,Tasmania,Summer,1.6365168539325843
2015,Tasmania,Winter,1.5934065934065933
2015,Victoria,Autumn,1.4797826086956523
2015,Victoria,Spring,0.8336666666666667
2015,Victoria,Summer,1.1560000000000001
2015,Victoria,Winter,1.5728758169934642
2015,Western Australia,Autumn,2.0246710526315788
2015,Western Australia,Spring,1.2523059617547807
2015,Western Australia,Summer,0.9602017937219731
2015,Western Australia,Winter,3.0308871851040524
2016,Australian Capital Territory,Autumn,1.0055555555555555
2016,Australian Capital Territory,Spring,2.761797752808989
2016,Australian Capital Territory,Summer,2.3202247191011236
2016,Australian Capital Territory,Winter,2.9782608695652173
2016,New South Wales,Autumn,1.6188679245283017
2016,New South Wales,Spring,1.8096052631578947
2016,New South Wales,Summer,3.2602475928473176
2016,New South Wales,Winter,3.908375959079284
2016,Northern Territory,Autumn,1.5364130434782608
2016,Northern Territory,Spring,1.6068681318681317
2016,Northern Territory,Summer,4.619061583577713
2016,Northern Territory,Winter,0.48595041322314053
2016,Queensland,Autumn,4.2900584795321635
2016,Queensland,Spring,1.0987179487179488
2016,Queensland,Summer,3.1062111801242236
2016,Queensland,Winter,2.831843575418995
2016,South Australia,Autumn,1.407650273224044
2016,South Australia,Spring,2.16353591160221
2016,South Australia,Summer,1.1242165242165243
2016,South Australia,Winter,2.6999999999999997
2016,Tasmania,Autumn,1.807608695652174
2016,Tasmania,Spring,2.4884615384615385
2016,Tasmania,Summer,2.0214285714285714
2016,Tasmania,Winter,2.991304347826087
2016,Victoria,Autumn,1.4727655099894847
2016,Victoria,Spring,2.6077001013171226
2016,Victoria,Summer,1.274423710208562
2016,Victoria,Winter,2.527075098814229
2016,Western Australia,Autumn,2.128303964757709
2016,Western Australia,Spring,1.6349492671927848
2016,Western Australia,Summer,1.1682899207248016
2016,Western Australia,Winter,4.0838137472283815
2017,Australian Capital Territory,Autumn,1.9752808988764046
2017,Australian Capital Territory,Summer,0.5305084745762711
2017,Australian Capital Territory,Winter,0.07200000000000001
2017,New South Wales,Autumn,3.5986175115207373
2017,New South Wales,Summer,2.093564862104188
2017,New South Wales,Winter,4.192326139088729
2017,Northern Territory,Autumn,2.889196675900277
2017,Northern Territory,Summer,8.906607929515419
2017,Northern Territory,Winter,0.0
2017,Queensland,Autumn,4.067036011080333
2017,Queensland,Summer,7.028181818181818
2017,Queensland,Winter,2.2510204081632654
2017,South Australia,Autumn,1.2665738161559887
2017,South Australia,Summer,1.269396551724138
2017,South Australia,Winter,0.22127659574468087
2017,Tasmania,Autumn,1.2347826086956522
2017,Tasmania,Summer,1.076271186440678
2017,Tasmania,Winter,0.5511111111111111
2017,Victoria,Autumn,1.830109670987039
2017,Victoria,Summer,1.171782945736434
2017,Victoria,Winter,0.552
2017,Western Australia,Autumn,1.4708988764044943
2017,Western Australia,Summer,1.8649214659685862
2017,Western Australia,Winter,2.059071729957806
