City1,City1.Longitude,City1.Latitude,City2,City2.Longitude,City2.Latitude,Season,Passenger_Trips
BRISBANE,153.024292,-27.47101,EMERALD,145.440933,-37.931671,Summer,16251.611650485436
BRISBANE,153.024292,-27.47101,EMERALD,145.440933,-37.931671,Winter,18934.534653465347
BRISBANE,153.024292,-27.47101,EMERALD,148.157837,-23.522961,Autumn,18276.077669902912
BRISBANE,153.024292,-27.47101,EMERALD,148.157837,-23.522961,Spring,19026.78787878788
BRISBANE,153.024292,-27.47101,EMERALD,148.157837,-23.522961,Summer,16251.611650485436
BRISBANE,153.024292,-27.47101,EMERALD,148.157837,-23.522961,Winter,18934.534653465347
BRISBANE,153.024292,-27.47101,GLADSTONE,114.25,-25.933333,Autumn,27292.936936936938
BRISBANE,153.024292,-27.47101,GLADSTONE,114.25,-25.933333,Spring,29867.09009009009
BRISBANE,153.024292,-27.47101,GLADSTONE,114.25,-25.933333,Summer,26786.495327102803
BRISBANE,153.024292,-27.47101,GLADSTONE,114.25,-25.933333,Winter,28553.87610619469
BRISBANE,153.024292,-27.47101,GLADSTONE,138.356552,-33.266949,Autumn,27292.936936936938
BRISBANE,153.024292,-27.47101,GLADSTONE,138.356552,-33.266949,Spring,29867.09009009009
BRISBANE,153.024292,-27.47101,GLADSTONE,138.356552,-33.266949,Summer,26786.495327102803
BRISBANE,153.024292,-27.47101,GLADSTONE,138.356552,-33.266949,Winter,28553.87610619469
BRISBANE,153.024292,-27.47101,GLADSTONE,148.016667,-40.966667,Autumn,27292.936936936938
BRISBANE,153.024292,-27.47101,GLADSTONE,148.016667,-40.966667,Spring,29867.09009009009
BRISBANE,153.024292,-27.47101,GLADSTONE,148.016667,-40.966667,Summer,26786.495327102803
BRISBANE,153.024292,-27.47101,GLADSTONE,148.016667,-40.966667,Winter,28553.87610619469
BRISBANE,153.024292,-27.47101,GLADSTONE,151.256348,-23.84761,Autumn,27292.936936936938
BRISBANE,153.024292,-27.47101,GLADSTONE,151.256348,-23.84761,Spring,29867.09009009009
BRISBANE,153.024292,-27.47101,GLADSTONE,151.256348,-23.84761,Summer,26786.495327102803
BRISBANE,153.024292,-27.47101,GLADSTONE,151.256348,-23.84761,Winter,28553.87610619469
BRISBANE,153.024292,-27.47101,GLADSTONE,152.950317,-31.018591,Autumn,27292.936936936938
BRISBANE,153.024292,-27.47101,GLADSTONE,152.950317,-31.018591,Spring,29867.09009009009
BRISBANE,153.024292,-27.47101,GLADSTONE,152.950317,-31.018591,Summer,26786.495327102803
BRISBANE,153.024292,-27.47101,GLADSTONE,152.950317,-31.018591,Winter,28553.87610619469
BRISBANE,153.024292,-27.47101,HAMILTON ISLAND,148.951935,-20.34602,Autumn,9874.338762214984
BRISBANE,153.024292,-27.47101,HAMILTON ISLAND,148.951935,-20.34602,Spring,12609.139682539682
BRISBANE,153.024292,-27.47101,HAMILTON ISLAND,148.951935,-20.34602,Summer,11054.073954983924
BRISBANE,153.024292,-27.47101,HAMILTON ISLAND,148.951935,-20.34602,Winter,10211.757188498403
BRISBANE,153.024292,-27.47101,HOBART,147.331665,-42.883209,Autumn,9680.904522613066
BRISBANE,153.024292,-27.47101,HOBART,147.331665,-42.883209,Spring,10432.57142857143
BRISBANE,153.024292,-27.47101,HOBART,147.331665,-42.883209,Summer,10821.0
BRISBANE,153.024292,-27.47101,HOBART,147.331665,-42.883209,Winter,8962.111675126904
BRISBANE,153.024292,-27.47101,MACKAY,149.165543,-21.15345,Autumn,32445.4715261959
BRISBANE,153.024292,-27.47101,MACKAY,149.165543,-21.15345,Spring,35496.096551724135
BRISBANE,153.024292,-27.47101,MACKAY,149.165543,-21.15345,Summer,31721.808656036446
BRISBANE,153.024292,-27.47101,MACKAY,149.165543,-21.15345,Winter,34540.07780320366
BRISBANE,153.024292,-27.47101,MELBOURNE,144.963425,-37.813938,Autumn,156887.0250569476
BRISBANE,153.024292,-27.47101,MELBOURNE,144.963425,-37.813938,Spring,178337.22068965517
BRISBANE,153.024292,-27.47101,MELBOURNE,144.963425,-37.813938,Summer,162963.97038724372
BRISBANE,153.024292,-27.47101,MELBOURNE,144.963425,-37.813938,Winter,167386.80320366131
BRISBANE,153.024292,-27.47101,MORANBAH,148.034836,-21.99828,Autumn,7476.459770114942
BRISBANE,153.024292,-27.47101,MORANBAH,148.034836,-21.99828,Spring,7439.908045977011
